page_id,page_title,database_id,database_title,url,last_edited_time
23efee61-94ad-80b5-af74-eeb53f80060a,Erro ao criar uma nova Coleção,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/Erro-ao-criar-uma-nova-Cole-o-23efee6194ad80b5af74eeb53f80060a,2025-07-28 17:13:00+00:00
23afee61-94ad-80be-b944-e3dfa1cb4d2b,#1359 - Estoque alocado exibe valor incorreto,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1359-Estoque-alocado-exibe-valor-incorreto-23afee6194ad80beb944e3dfa1cb4d2b,2025-07-28 17:10:00+00:00
23efee61-94ad-80f4-9b3f-dcc4d91f728f,Template Suporte,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/Template-Suporte-23efee6194ad80f49b3fdcc4d91f728f,2025-07-28 15:46:00+00:00
23efee61-94ad-80fe-b720-f1283ae5cbb6,Template Suporte,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/Template-Suporte-23efee6194ad80feb720f1283ae5cbb6,2025-07-28 15:38:00+00:00
23cfee61-94ad-80a0-b126-e2b8ef56b1a5,#1362 - Ícones do menu inferior aparecem “quebrados” no android,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1362-cones-do-menu-inferior-aparecem-quebrados-no-android-23cfee6194ad80a0b126e2b8ef56b1a5,2025-07-28 14:31:00+00:00
23afee61-94ad-8088-ae6a-e673e6370e4a,#1358 - Dados do dashboard não estão disponíveis para líderes de times específicos,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1358-Dados-do-dashboard-n-o-est-o-dispon-veis-para-l-deres-de-times-espec-ficos-23afee6194ad8088ae6ae673e6370e4a,2025-07-28 14:27:00+00:00
233fee61-94ad-8092-b3a5-d6affe8c09d0,#1350 - Ordem de exibição das variações de coleção no portal não segue padrão (alfabetica ou de cadastro),3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1350-Ordem-de-exibi-o-das-varia-es-de-cole-o-no-portal-n-o-segue-padr-o-alfabetica-ou-de-cadas-233fee6194ad8092b3a5d6affe8c09d0,2025-07-28 13:40:00+00:00
1affee61-94ad-80a1-9139-d3fc5f240e74,"INO-1723 - Refatorar o upload de planilhas de clientes, produtos e tabelas de preço ",3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/INO-1723-Refatorar-o-upload-de-planilhas-de-clientes-produtos-e-tabelas-de-pre-o-1affee6194ad80a19139d3fc5f240e74,2025-07-28 13:05:00+00:00
21cfee61-94ad-80b9-be26-dcd20934b91f,PRD-1917 - Integrar transportadora no invoice do pedido,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/PRD-1917-Integrar-transportadora-no-invoice-do-pedido-21cfee6194ad80b9be26dcd20934b91f,2025-07-28 08:28:00+00:00
23cfee61-94ad-803a-b67d-f90d77e0977b,Implementar Airbyte para replicação de ddos,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/Implementar-Airbyte-para-replica-o-de-ddos-23cfee6194ad803ab67df90d77e0977b,2025-07-26 03:55:00+00:00
23bfee61-94ad-80af-a265-decbddf0776b,Template Suporte,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/Template-Suporte-23bfee6194ad80afa265decbddf0776b,2025-07-25 18:42:00+00:00
233fee61-94ad-8069-bf4c-c2893d5e8dd0,#1349 - A flag “Exibir promoções em destaque” não está funcionando corretamente,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1349-A-flag-Exibir-promo-es-em-destaque-n-o-est-funcionando-corretamente-233fee6194ad8069bf4cc2893d5e8dd0,2025-07-25 18:15:00+00:00
23bfee61-94ad-8088-b9cb-e4b6858a30dc,#1360 - ID de usuário inexistente no preferredSalesPersonId do Save Client provoca erro 500 na V2,3290a9e9-f0bf-4d84-bc57-aae53f635e7e,Base Unificada de Tarefas,https://www.notion.so/1360-ID-de-usu-rio-inexistente-no-preferredSalesPersonId-do-Save-Client-provoca-erro-500-na-V2-23bfee6194ad8088b9cbe4b6858a30dc,2025-07-25 15:14:00+00:00
