,page_id,page_title
56,206fee61-94ad-80a8-a9e1-e031f21defe6,#1281 Cliente com vendedor preferencial definido não atualizou a política comercial de restrição de clientes
57,206fee61-94ad-8050-86c2-fd2048a42cf4,#1280 - Campo “E-mail padrão para convite” não fica null
58,203fee61-94ad-8094-ba12-c9ae0af227e9,#
59,203fee61-94ad-806f-8362-d37aa6b5b974,#1278 - Horário errado no relatório “Histórico de Movimentação de Saldo” 3h+
60,203fee61-94ad-80df-8460-ce7970d272c8,#1277 - Critério “Estado” da política comercial de frete não funciona para mais de um estado selecionado.
61,203fee61-94ad-80cb-9f44-c5094448552c,#1276 Cadastro de buyer Portal de Compras retorna erro “Hash inválido”
62,203fee61-94ad-80f0-aecb-e6db6707cbd0,#1275 - Envio do email errado no convite do portal
63,203fee61-94ad-8054-9d14-f6ff16168bb8,#1274 - Estoque alocado não desconta após integrar pedido
64,202fee61-94ad-8014-be84-e16d84fafb20,#1272 - Falha ao realizar importação de pedidos BIM
65,202fee61-94ad-8084-a093-ffdd447771dd,#1273 - Corrigir texto da definição do estoque alocado
66,200fee61-94ad-8026-a4d0-c574b60c4ad6,#1271 - Importação BIM aplicou desconto em duplicidade 
67,1fffee61-94ad-80ef-a66a-ca6c01432d48,#1269 - Degradação na Performance de RDS-STG em função de Endpoint de Customer no Portal de Compras.
68,1fffee61-94ad-803a-af84-c7902998cc35,#1270 - Unidade de medida importada da Bling não corresponde a unidade cadastrada no Bendito
69,1fffee61-94ad-8054-bdef-f44e58b295ee,UX Writing: Melhorar os Textos da Feature de Políticas Comerciais
70,1fffee61-94ad-8057-b064-ec7c5fcee603,#1268 - Importação de Clientes Bling: Remover Mapping do campo Forma de Pagamento Preferencial.
71,1fcfee61-94ad-8097-8824-d73b54034739,#1267 - Política de Ajuste de Preço aplicou desconto no valor total do pedido e não no produto
72,1fbfee61-94ad-8038-815e-edc0a128cb38,#1266 - Ignorar campos customizados de tipo multi select no aplicativo
73,1fbfee61-94ad-8088-b309-db7a2e37a22f,#
74,1fafee61-94ad-806e-a91c-eefb07113f33,#1264 - Os clientes sem pedidos no Excel do Dashboard estão aparecendo em um período maior do que o estipulado no filtro.
75,1f9fee61-94ad-80e1-9622-f7453fe3d7af,#1263 - Erro ao integrar pedido (ERP Core Business)
76,1f8fee61-94ad-8055-a60a-eac07ade48a7,Debito técnico - Adicionar campos customizados de tipo multi select no aplicativo
77,1f8fee61-94ad-80a8-9af4-d9d088e7a699,#1262 - CNPJ errado na página de cadastro do portal
78,1f5fee61-94ad-8000-84fa-d916c3ae7a78,#1261 - Tabela de preço padrão para novos pedidos no Portal de Compras permanece após primeira compra realizada
79,1f4fee61-94ad-806b-a344-e32aed85f5bf,#1260 - Espaçamento entre linhas no campo “dados adicionais” não é respeitado no Portal de Compras
80,1f2fee61-94ad-803e-8dec-f9c1fa39e5c8,#1260 - CPNJ do cliente incompleto no frontend 
81,1f2fee61-94ad-8038-9573-cf48981ecaa4,#1259 - Erro ao abrir o cadastro do cliente
82,1f2fee61-94ad-8052-be87-d723efee4625,#1258 - Filtro relatório deixou de ser multi seleção
83,1eefee61-94ad-8001-9a97-e27613a89151,#1257 - Importação de Nota Fiscal da Tiny não retorna nenhum resultado
84,1edfee61-94ad-8056-8e49-f76ed897d056,#1256 - Forma de pagamento associada a tabela de preço impede a adição de produto no pedido
85,1ecfee61-94ad-80e1-a84d-c0cc784d3db3,#1255 - App quebrando ao acessar a tela de clientes 
86,1ebfee61-94ad-805a-ad72-d4beade9446d,#1254 - Revisão geral sobre lentidão em toda a base da Val Alimentos
87,1ebfee61-94ad-8091-8b44-d4304c47fb9d,#1253 - Não está sendo possível excluir aprovador em um Workflow
88,1ebfee61-94ad-8097-8c65-f558c0c03f32,#1252 - Administrador não consegue adicionar clientes em uma nova rota para seus vendedores
89,1ebfee61-94ad-805e-ab4f-dcd3f5b23ff3,INO-1826 [Débito Técnico] Implementar prazo de entrega baseado na forma de pagamento no mobile
90,1ebfee61-94ad-8003-83d2-d06d37ac2be0,#1251 - Loading infinito ao entrar no portal pelo link personalizado
91,1eafee61-94ad-8029-a03a-e66fa3ffe2fa,Débito técnico - Excluir categoria vinculada a um produto.
92,1eafee61-94ad-80fb-81a0-d3a1689871bc,#1251 - Alterar o Prazo de Entrega no Fechamento do Pedido  no Portal  
93,1eafee61-94ad-8077-a152-ee60d8e39a52,#1250 - Erro sincronizar pedido
94,1e5fee61-94ad-80f7-9ecd-ce2d381c7f8a,#1249 - Dashboard - Períodos no Excel dos Clientes sem pedidos mostram data errada e pedidos durante essas datas.
95,1e5fee61-94ad-80de-a86a-cc1449d7df92,#1248 - Problemas com Planilha de clientes
96,1e3fee61-94ad-8002-96b3-c70cfd8a4347,#1247 - Categorias de produto repetidas
97,1e3fee61-94ad-8043-a945-e334e294aa4a,#1246 - Política comercial não está aplicando a regra de desconto por item.
98,1e0fee61-94ad-8058-bf5e-f2d994f70e4b,#1245 - Política comercial de tabela de preço não está aplicando corretamente no app
99,1e0fee61-94ad-80d7-bce6-ca593ce98449,#1244 - Politica de workflow com critério de Valor do acréscimo no item funcionando de maneira incorreta
100,1e0fee61-94ad-80c7-aeeb-da1716219072,PRD-1812 - Criar Endpoints de Product Pricing na V2
101,1dffee61-94ad-80ca-8c76-ed370eb20ae1,#1243 - Líder de Time vendo pedidos de outros vendedores
102,1defee61-94ad-8089-a5f2-c23a1a7627d8,PRD-1807 - Criar status “Cortesia” para customers internos e parceiros Bendito
103,1defee61-94ad-8097-a4e8-f273d855425b,Debito técnico - Implementar bloqueio de produtos sem NCM configurado
